ID,Type,Name,Documentation,Specialization
"1","ApplicationComponent","SIA09-VCBK01","",""
"2","ApplicationComponent","SIA09-PHBKX1","",""
"3","ApplicationComponent","SIA09-BXQA03","",""
"4","ApplicationComponent","SIA09-SRCAX2","",""
"5","ApplicationComponent","SIA09-NUTDV1","",""
"6","ApplicationComponent","SIA09-SCAPX2","",""
"7","ApplicationComponent","SIA09-BXFS02","",""
"8","ApplicationComponent","SIA09-NUTDV2","",""
"9","ApplicationComponent","SIA09-SPIFDV","",""
"10","ApplicationComponent","SIA09-MLPR01","",""
"11","ApplicationComponent","SIA09-MLPR02","",""
"12","ApplicationComponent","SIA09-MLPR03","",""
"13","ApplicationComponent","SIA09-MLPR04","",""
"14","ApplicationComponent","SIA09-MLUT01","",""
"15","ApplicationComponent","SIA09-MLUT02","",""
"16","ApplicationComponent","SIA09-LRPR03","",""
"17","ApplicationComponent","SIA09-POCT03","",""
"18","ApplicationComponent","SIA09-RPDCMM","",""
"19","ApplicationComponent","SIA09-BXDV03","",""
"20","ApplicationComponent","A10-1","",""
"21","ApplicationComponent","A10-2","",""
"22","ApplicationComponent","Cisco SG300-28PP","",""
"23","ApplicationComponent","D6CFZN1S","",""
"24","ApplicationComponent","Dell PowerEdge R930","",""
"25","ApplicationComponent","Dell SCv2020 FC ","",""
"26","ApplicationComponent","Dell SCv2020 FC ","",""
"27","ApplicationComponent","DELL/EMC UNITY300 (DAE)","",""
"28","ApplicationComponent","DELL/EMC UNITY300 (DPE)","",""
"33","ApplicationComponent","EMC Unity 300 (DAE1_0)","",""
"34","ApplicationComponent","EMC Unity 300 (DPE)","",""
"35","ApplicationComponent","IEMC Unity 380 Storage  ","",""
"36","ApplicationComponent","IBM DCS3700","",""
"37","ApplicationComponent","IBM DCS3700","",""
"38","ApplicationComponent","IBM SAN 24B-5","",""
"39","ApplicationComponent","IBM SAN 24B-5","",""
"40","ApplicationComponent","IBM SAN 24B-5","",""
"41","ApplicationComponent","IBM SAN 24B-5","",""
"42","ApplicationComponent","IBM Storwise V7000","",""
"43","ApplicationComponent","IBM Storwise V7000","",""
"44","ApplicationComponent","IBM V5010 (DAE)","",""
"45","ApplicationComponent","IBM V5010 (DAE)","",""
"46","ApplicationComponent","KVM","",""
"47","ApplicationComponent","KVM","",""
"48","ApplicationComponent","KVM","",""
"49","ApplicationComponent","KVM","",""
"50","ApplicationComponent","KVM ","",""
"51","ApplicationComponent","Monitor","",""
"52","ApplicationComponent","Monitor Dell","",""
"53","ApplicationComponent","Monitor Dell","",""
"54","ApplicationComponent","Monitor Dell","",""
"55","ApplicationComponent","Monitor Dell KMMLED185","",""
"56","ApplicationComponent","Dell KVM  PowerEdge 180AS ","",""
"57","ApplicationComponent","Dell monitor  KVM 17FP","",""
"58","ApplicationComponent","KVM-1","",""
"59","ApplicationComponent","KVM-2","",""
"60","ApplicationComponent","KVM-B08","",""
"61","ApplicationComponent","LCD-B08","",""
"62","ApplicationComponent","Lenovo System x3550 M4","",""
"63","ApplicationComponent","Lenovo System x3550 M4","",""
"64","ApplicationComponent","Lenovo System x3550 M4","",""
"65","ApplicationComponent","Lenovo System x3550 M4","",""
"66","ApplicationComponent","NBU-StoreEverMSL3040","",""
"67","ApplicationComponent","NBU-StoreEverMSL3040 (exp)","",""
"68","ApplicationComponent","NBU-StoreEverMSL3040 (exp)","",""
"69","ApplicationComponent","NBU-StoreEverMSL3040 (exp)","",""
"70","ApplicationComponent","NBU-StoreOnce5200-01","",""
"71","ApplicationComponent","NBU-StoreOnce5200-01 (exp)","",""
"72","ApplicationComponent","NBU-StoreOnce5200-01 (exp)","",""
"73","ApplicationComponent","NBU-StoreOnce5200-01 (exp)","",""
"74","ApplicationComponent","NBU-StoreOnce5200-01 (exp)","",""
"75","ApplicationComponent","NBU-StoreOnce5200-02","",""
"76","ApplicationComponent","NBU-StoreOnce5200-02 (exp)","",""
"77","ApplicationComponent","NBU-StoreOnce5200-02 (exp)","",""
"78","ApplicationComponent","NBU-StoreOnce5200-02 (exp)","",""
"79","ApplicationComponent","NBU-StoreOnce5200-02 (exp)","",""
"80","ApplicationComponent","PACS_N5K1","",""
"81","ApplicationComponent","PACS_N5K2","",""
"82","ApplicationComponent","POPULAI","",""
"83","ApplicationComponent","RACK A08","",""
"84","ApplicationComponent","RACK A09","",""
"85","ApplicationComponent","RACK A10","",""
"86","ApplicationComponent","RACK B09","",""
"87","ApplicationComponent","SIA03-FDDV03","",""
"88","ApplicationComponent","SIA03-FDQA03","",""
"89","ApplicationComponent","SIA09-3PAR01","",""
"90","ApplicationComponent","SIA09-ADCS01","",""
"91","ApplicationComponent","SIA09-ADCS02","",""
"92","ApplicationComponent","SIA09-ADCS03","",""
"93","ApplicationComponent","SIA09-ADIS01","",""
"94","ApplicationComponent","SIA09-ADIS01_PrivateTest","",""
"95","ApplicationComponent","SIA09-ANES02","",""
"96","ApplicationComponent","SIA09-ANVS02","",""
"97","ApplicationComponent","SIA09-APUT01","",""
"98","ApplicationComponent","SIA09-APWS01","",""
"99","ApplicationComponent","SIA09-AXIF15","",""
"100","ApplicationComponent","SIA09-AXIF12","",""
"101","ApplicationComponent","SIA09-AXIF14","",""
"102","ApplicationComponent","SIA09-BBPR01","",""
"103","ApplicationComponent","SIA09-BBPR02","",""
"104","ApplicationComponent","SIA09-BBUT01","",""
"105","ApplicationComponent","SIA09-BBUT02","",""
"106","ApplicationComponent","SIA09-BCPR01","",""
"107","ApplicationComponent","SIA09-BIDV02","",""
"108","ApplicationComponent","SIA09-BIPR11","",""
"109","ApplicationComponent","SIA09-BIPR12","",""
"110","ApplicationComponent","SIA09-BIQA02","",""
"111","ApplicationComponent","SIA09-BIWD03","",""
"112","ApplicationComponent","SIA09-BMDB01","",""
"113","ApplicationComponent","SIA09-BMWS01","",""
"114","ApplicationComponent","SIA09-BMWS02","",""
"115","ApplicationComponent","SIA09-CCTV01","",""
"116","ApplicationComponent","SIA09-CMDB01","",""
"117","ApplicationComponent","SIA09-CPPR01","",""
"118","ApplicationComponent","SIA09-CXDB01","",""
"119","ApplicationComponent","SIA09-CXDB02","",""
"120","ApplicationComponent","SIA09-CXDB05","",""
"121","ApplicationComponent","SIA09-CXDB06","",""
"122","ApplicationComponent","SIA09-CXDB07","",""
"123","ApplicationComponent","SIA09-CXDB03","",""
"124","ApplicationComponent","SIA09-CZMM01","",""
"125","ApplicationComponent","SIA09-DBDV01","",""
"126","ApplicationComponent","SIA09-DBDV02","",""
"127","ApplicationComponent","SIA09-DBDV03","",""
"128","ApplicationComponent","SIA09-DBPR01","",""
"129","ApplicationComponent","SIA09-DBPR02","",""
"130","ApplicationComponent","SIA09-DBPRX3","",""
"131","ApplicationComponent","SIA09-DBSM01","",""
"132","ApplicationComponent","SIA09-DBUT02","",""
"133","ApplicationComponent","SIA09-DEFI01","",""
"134","ApplicationComponent","SIA09-DEFI02","",""
"135","ApplicationComponent","SIA09-DHCP01","",""
"136","ApplicationComponent","SIA09-DHCP02","",""
"137","ApplicationComponent","SIA09-DLDV01","",""
"138","ApplicationComponent","SIA09-DLPR01","",""
"139","ApplicationComponent","SIA09-DLPR02","",""
"140","ApplicationComponent","SIA09-DLUT01","",""
"141","ApplicationComponent","SIA09-DSPRX1","",""
"142","ApplicationComponent","SIA09-DSPRX2","",""
"143","ApplicationComponent","SIA09-EDAP01","",""
"144","ApplicationComponent","SIA09-EDAP02","",""
"145","ApplicationComponent","SIA09-EDDB01A","",""
"146","ApplicationComponent","SIA09-EDDB01B","",""
"147","ApplicationComponent","SIA09-EDDV01","",""
"148","ApplicationComponent","SIA09-EDDV02","",""
"149","ApplicationComponent","SIA09-EDDV03","",""
"150","ApplicationComponent","SIA09-EDELDV","",""
"151","ApplicationComponent","SIA09-EDELX1","",""
"152","ApplicationComponent","SIA09-EDELX3","",""
"153","ApplicationComponent","SIA09-EDIX01","",""
"154","ApplicationComponent","SIA09-EDMS01","",""
"155","ApplicationComponent","SIA09-EDOC01","",""
"156","ApplicationComponent","SIA09-EDOC03A","",""
"157","ApplicationComponent","SIA09-EDOC03B","",""
"158","ApplicationComponent","SIA09-EDOC04A","",""
"159","ApplicationComponent","SIA09-EDOC04B","",""
"160","ApplicationComponent","SIA09-EDOCX1","",""
"161","ApplicationComponent","SIA09-EDRM01","",""
"162","ApplicationComponent","SIA09-EDRM02","",""
"163","ApplicationComponent","SIA09-EDSS01","",""
"164","ApplicationComponent","SIA09-EDSSUT01","",""
"165","ApplicationComponent","SIA09-EDWN01","",""
"166","ApplicationComponent","SIA09-EDWS01","",""
"167","ApplicationComponent","SIA09-EDWS02","",""
"168","ApplicationComponent","SIA09-EDWS03","",""
"169","ApplicationComponent","SIA09-EHAP02","",""
"171","ApplicationComponent","SIA09-EKOAD2","",""
"172","ApplicationComponent","SIA09-EPYX01","",""
"173","ApplicationComponent","sia09-ESXA03","",""
"174","ApplicationComponent","sia09-ESXA02","",""
"175","ApplicationComponent","sia09-ESXA01","",""
"176","ApplicationComponent","SIA09-ESET11","",""
"177","ApplicationComponent","SIA09-ESET12","",""
"178","ApplicationComponent","SIA09-ESET13","",""
"179","ApplicationComponent","SIA09-ESET14","",""
"180","ApplicationComponent","SIA09-ESXA11","",""
"181","ApplicationComponent","SIA09-ESXA12","",""
"182","ApplicationComponent","SIA09-ESXA13","",""
"183","ApplicationComponent","SIA09-ESXA14","",""
"184","ApplicationComponent","SIA09-ESXA21","",""
"185","ApplicationComponent","SIA09-ESXA22","",""
"186","ApplicationComponent","SIA09-ESXB11","",""
"187","ApplicationComponent","SIA09-ESXB12","",""
"188","ApplicationComponent","SIA09-ESXB13","",""
"189","ApplicationComponent","SIA09-ESXB14","",""
"190","ApplicationComponent","SIA09-ESXC11","",""
"191","ApplicationComponent","SIA09-ESXC12","",""
"192","ApplicationComponent","SIA09-ESXC13","",""
"193","ApplicationComponent","SIA09-ESXC14","",""
"194","ApplicationComponent","SIA09-ESXC15","",""
"195","ApplicationComponent","SIA09-EYEX01","",""
"196","ApplicationComponent","SIA09-EYEXX3","",""
"197","ApplicationComponent","SIA09-FXFS01","",""
"198","ApplicationComponent","SIA09-FXIF01","",""
"199","ApplicationComponent","SIA09-FXIF03","",""
"200","ApplicationComponent","SIA09-FXPR10","",""
"201","ApplicationComponent","SIA09-FXPR16","",""
"202","ApplicationComponent","SIA09-FXPR17","",""
"203","ApplicationComponent","SIA09-FXPR18","",""
"204","ApplicationComponent","SIA09-FXPS01","",""
"205","ApplicationComponent","SIA09-FXUT02","",""
"206","ApplicationComponent","SIA09-FXUT03","",""
"207","ApplicationComponent","SIA09-FXUT04","",""
"208","ApplicationComponent","SIA09-FXUT05","",""
"209","ApplicationComponent","SIA09-FXUT08","",""
"210","ApplicationComponent","SIA09-FXUT17","",""
"211","ApplicationComponent","SIA09-FXUT18","",""
"212","ApplicationComponent","SIA09-GRPR01","",""
"213","ApplicationComponent","SIA09-HBCX01","",""
"214","ApplicationComponent","SIA09-ICDVX1","",""
"215","ApplicationComponent","SIA09-IMED01","",""
"216","ApplicationComponent","SIA09-IPGG01","",""
"217","ApplicationComponent","SIA09-IPGG02","",""
"218","ApplicationComponent","SIA09-IPGG03","",""
"219","ApplicationComponent","SIA09-ISDV01","",""
"220","ApplicationComponent","SIA09-ISME01","",""
"221","ApplicationComponent","SIA09-ISPR07","",""
"222","ApplicationComponent","SIA09-ISPR08","",""
"223","ApplicationComponent","SIA09-ISPR09","",""
"224","ApplicationComponent","SIA09-ISPR11","",""
"225","ApplicationComponent","SIA09-ISPR91","",""
"226","ApplicationComponent","SIA09-ISPR93","",""
"227","ApplicationComponent","SIA09-ISPR94","",""
"228","ApplicationComponent","SIA09-ISPR94_PrivateTest","",""
"229","ApplicationComponent","SIA09-ISPR95","",""
"230","ApplicationComponent","SIA09-ISPR95_PrivateTest","",""
"231","ApplicationComponent","SIA09-ISUT01","",""
"232","ApplicationComponent","SIA09-ISUT10","",""
"233","ApplicationComponent","SIA09-ISUT11","",""
"234","ApplicationComponent","SIA09-ITFS02","",""
"235","ApplicationComponent","SIA09-LDPR01","",""
"236","ApplicationComponent","SIA09-LNPR01","",""
"237","ApplicationComponent","SIA09-LNPR97","",""
"238","ApplicationComponent","SIA09-LSDB11","",""
"239","ApplicationComponent","SIA09-LSDB12","",""
"240","ApplicationComponent","SIA09-LSDV04","",""
"241","ApplicationComponent","SIA09-LSIF11","",""
"242","ApplicationComponent","SIA09-LSIF12","",""
