ID,KEY,VALUE
1,CI Name,SIA09-VCBK01
1,Primary Capability,VM
1,Group (ห้ามแก้),ระบบสนับสนุน - สำรองข้อมูล
1,System (ห้ามแก้),สำรองข้อมูล vcenter
1,System Detail,สำรองข้อมูล vcenter
1,Server Type (ห้ามแก้),
1,"Environment(Production, UAT, Testing/Development, Not Used,..)",production
1,SAP ID,-
1,รหัสครุภัณฑ์,-
1,Serial Number,-
1,Organization,-
1,"Status
(Active / Inactive)",Active
1,Product Name,-
1,Model/Version,-
1,DC Room - Building,ตึกศรีสวรินทิรา
1,Floor,7
1,Rack Number,-
1,Unit,-
1,Is Virtual?,Y
1,VM Cluster Group,-
1,"IP Address
(Primary)",172.29.31.99
1,"IP Address
(BAK)",-
1,"IP Address
(Management iDRAC, iLO)",-
1,Operating System,-
1,Service Pack,-
1,Database Vsersion,-
1,Service patch,-
1,เลขที่สัญญา,-
1,Delivery Date,-
1,MA Status,-
1,MA Start Date,-
1,MA Expired Date,-
1,Vender,-
1,ประเภทการรับประกัน,-
1,Owner,พงษ์ศักดิ์ พลเทพ
1,Type of Asset,Hardware
1, ISO Scope,Implement & Certified
1,System Doc,-
1,HealthCheck,-
1,Allow port firewall Server,-
1,Deploy App,
