ID,KEY,VALUE
1,CI Name,SIA09-VCBK01
1,Primary Capability,VM
1,Group (ห้ามแก้),ระบบสนับสนุน - สำรองข้อมูล
1,System (ห้ามแก้),สำรองข้อมูล vcenter
1,System Detail,สำรองข้อมูล vcenter
1,Server Type (ห้ามแก้),
1,"Environment(Production, UAT, Testing/Development, Not Used,..)",production
1,SAP ID,-
1,รหัสครุภัณฑ์,-
1,Serial Number,-
1,Organization,-
1,"Status
(Active / Inactive)",Active
1,Product Name,-
1,Model/Version,-
1,DC Room - Building,ตึกศรีสวรินทิรา
1,Floor,7
1,Rack Number,-
1,Unit,-
1,Is Virtual?,Y
1,VM Cluster Group,-
1,"IP Address
(Primary)",172.29.31.99
1,"IP Address
(BAK)",-
1,"IP Address
(Management iDRAC, iLO)",-
1,Operating System,-
1,Service Pack,-
1,Database Vsersion,-
1,Service patch,-
1,เลขที่สัญญา,-
1,Delivery Date,-
1,MA Status,-
1,MA Start Date,-
1,MA Expired Date,-
1,Vender,-
1,ประเภทการรับประกัน,-
1,Owner,พงษ์ศักดิ์ พลเทพ
1,Type of Asset,Hardware
1, ISO Scope,Implement & Certified
1,System Doc,-
1,HealthCheck,-
1,Allow port firewall Server,-
1,Deploy App,
2,CI Name,SIA09-PHBKX1
2,Primary Capability,VM
2,Group (ห้ามแก้),ระบบทดสอบ - Test / UAT
2,System (ห้ามแก้),Sever ทดสอบ Implemenet 
2,System Detail,server ทดสอบสำหรับ Programer
2,Server Type (ห้ามแก้),
2,"Environment(Production, UAT, Testing/Development, Not Used,..)",UAT
2,SAP ID,-
2,รหัสครุภัณฑ์,-
2,Serial Number,VMWare
2,Organization,Siriraj
2,"Status
(Active / Inactive)",Active
2,Product Name,-
2,Model/Version,-
2,DC Room - Building,ตึกศรีสวรินทิรา
2,Floor,7
2,Rack Number,-
2,Unit,-
2,Is Virtual?,Y
2,VM Cluster Group,ESXD Cluster
2,"IP Address
(Primary)",172.29.37.204
2,"IP Address
(BAK)",-
2,"IP Address
(Management iDRAC, iLO)",-
2,Operating System,Microsoft Windows Server 2016 (64-bit)
2,Service Pack,-
2,Database Vsersion,-
2,Service patch,-
2,เลขที่สัญญา,-
2,Delivery Date,-
2,MA Status,-
2,MA Start Date,-
2,MA Expired Date,-
2,Vender,-
2,ประเภทการรับประกัน,-
2,Owner,กรรณิกา ละมั่งทอง
2,Type of Asset,Hardware
2, ISO Scope,Implement & Certified
2,System Doc,-
2,HealthCheck,-
2,Allow port firewall Server,-
2,Deploy App,
3,CI Name,SIA09-BXQA03
3,Primary Capability,VM
3,Group (ห้ามแก้),ระบบทดสอบ - Test / UAT
3,System (ห้ามแก้),SAP
3,System Detail,Bacx Qas
3,Server Type (ห้ามแก้),DB+App
3,"Environment(Production, UAT, Testing/Development, Not Used,..)",UAT
3,SAP ID,-
3,รหัสครุภัณฑ์,-
3,Serial Number,VMWare
3,Organization,Siriraj
3,"Status
(Active / Inactive)",Active
3,Product Name,-
3,Model/Version,-
3,DC Room - Building,ตึกศรีสวรินทิรา
3,Floor,7
3,Rack Number,-
3,Unit,-
3,Is Virtual?,Y
3,VM Cluster Group,ESPR Cluster
3,"IP Address
(Primary)",172.29.38.52
3,"IP Address
(BAK)",-
3,"IP Address
(Management iDRAC, iLO)",-
3,Operating System,Windows Server 2019 Standard
3,Service Pack,-
3,Database Vsersion,-
3,Service patch,-
3,เลขที่สัญญา,-
3,Delivery Date,-
3,MA Status,-
3,MA Start Date,-
3,MA Expired Date,-
3,Vender,-
3,ประเภทการรับประกัน,-
3,Owner,Basis Team
3,Type of Asset,Hardware
3, ISO Scope,No
3,System Doc,-
3,HealthCheck,-
3,Allow port firewall Server,-
3,Deploy App,Yes
4,CI Name,SIA09-SRCAX2
4,Primary Capability,VM
4,Group (ห้ามแก้),ระบบทดสอบ - Test / UAT
4,System (ห้ามแก้),UAT
4,System Detail,DB server
4,Server Type (ห้ามแก้),
4,"Environment(Production, UAT, Testing/Development, Not Used,..)",UAT
4,SAP ID,-
4,รหัสครุภัณฑ์,-
4,Serial Number,VMWare
4,Organization,Siriraj
4,"Status
(Active / Inactive)",Active
4,Product Name,-
4,Model/Version,-
4,DC Room - Building,ตึกศรีสวรินทิรา
4,Floor,7
4,Rack Number,-
4,Unit,-
4,Is Virtual?,Y
4,VM Cluster Group,ESPR Cluster
4,"IP Address
(Primary)",172.29.41.153
4,"IP Address
(BAK)",-
4,"IP Address
(Management iDRAC, iLO)",-
4,Operating System,Windows Server 2019 Standard
4,Service Pack,-
4,Database Vsersion,-
4,Service patch,-
4,เลขที่สัญญา,-
4,Delivery Date,-
4,MA Status,-
4,MA Start Date,-
4,MA Expired Date,-
4,Vender,-
4,ประเภทการรับประกัน,-
4,Owner,วศิน ศีติสาร
4,Type of Asset,Hardware
4, ISO Scope,No
4,System Doc,-
4,HealthCheck,-
4,Allow port firewall Server,-
4,Deploy App,
5,CI Name,SIA09-NUTDV1
5,Primary Capability,VM
