"ID","Type","Name","Documentation","Specialization"
"id-2a1e87d44acf454ea1a21453738fe3f0","ArchimateModel","testtest","",""
"Serv1","ApplicationComponent","SIA09-VCBK01","",""
"Serv2","ApplicationComponent","SIA09-PHBKX1","",""
"Serv3","ApplicationComponent","SIA09-BXQA03","",""
"Serv4","ApplicationComponent","SIA09-SRCAX2","",""
"Serv5","ApplicationComponent","SIA09-NUTDV1","",""
"Serv6","ApplicationComponent","SIA09-SCAPX2","",""
"Serv7","ApplicationComponent","SIA09-BXFS02","",""
"Serv8","ApplicationComponent","SIA09-NUTDV2","",""
"Serv9","ApplicationComponent","SIA09-SPIFDV","",""
"Serv10","ApplicationComponent","SIA09-MLPR01","",""
"Serv11","ApplicationComponent","SIA09-MLPR02","",""
"Serv12","ApplicationComponent","SIA09-MLPR03","",""
"Serv13","ApplicationComponent","SIA09-MLPR04","",""
"Serv14","ApplicationComponent","SIA09-MLUT01","",""
"Serv15","ApplicationComponent","SIA09-MLUT02","",""
"Serv16","ApplicationComponent","SIA09-LRPR03","",""
"Serv17","ApplicationComponent","SIA09-POCT03","",""
"Serv18","ApplicationComponent","SIA09-RPDCMM","",""
"Serv19","ApplicationComponent","SIA09-BXDV03","",""
"Serv20","ApplicationComponent","A10-1","",""
"Serv21","ApplicationComponent","A10-2","",""
"Serv22","ApplicationComponent","Cisco SG300-28PP","",""
"Serv23","ApplicationComponent","D6CFZN1S","",""
"Serv24","ApplicationComponent","Dell PowerEdge R930","",""
"Serv25","ApplicationComponent","Dell SCv2020 FC ","",""
"Serv26","ApplicationComponent","Dell SCv2020 FC ","",""
"Serv27","ApplicationComponent","DELL/EMC UNITY300 (DAE)","",""
"Serv28","ApplicationComponent","DELL/EMC UNITY300 (DPE)","",""
"Serv33","ApplicationComponent","EMC Unity 300 (DAE1_0)","",""
"Serv34","ApplicationComponent","EMC Unity 300 (DPE)","",""
"Serv35","ApplicationComponent","IEMC Unity 380 Storage  ","",""
"Serv36","ApplicationComponent","IBM DCS3700","",""
"Serv37","ApplicationComponent","IBM DCS3700","",""
