"ID","Key","Value"
"Serv1","No","1"
"Serv1","SAP ID","-"
"Serv1","Service patch","-"
"Serv1","รหัสครุภัณฑ์","-"
"Serv1","Delivery Date","-"
"Serv1","IP Address BAK","-"
"Serv1","CI Name","SIA09-VCBK01"
"Serv1","Allow port firewall Server","-"
"Serv1","System Doc","-"
"Serv1","Unit","-"
"Serv1","Floor","7"
"Serv1","Vender","-"
"Serv1","MA Expired Date","-"
"Serv1","ประเภทการรับประกัน","-"
"Serv1","Primary Capability","VM"
"Serv1","Serial Number","-"
"Serv1",""Status
(Active / Inactive)"","Active"
"Serv1","Deploy App",""
"Serv1"," ISO Scope","Implement & Certified"
"Serv1","IP Address Primary","172.29.31.99"
"Serv1","IP Address Management","-"
"Serv1","DC Room Building","ตึกศรีสวรินทิรา"
"Serv1","Database Vsersion","-"
"Serv1","Server Type (ห้ามแก้)",""
"Serv1","System Detail","สำรองข้อมูล vcenter"
"Serv1","System (ห้ามแก้)","สำรองข้อมูล vcenter"
"Serv1","MA Start Date","-"
"Serv1","Rack Number","-"
"Serv1","MA Status","-"
"Serv1","Model Version","-"
"Serv1","Service Pack","-"
"Serv1","Group (ห้ามแก้)","ระบบสนับสนุน - สำรองข้อมูล"
"Serv1","VM Cluster Group","-"
"Serv1",""Environment(Production, UAT, Testing/Development, Not Used,..)"","production"
"Serv1","HealthCheck","-"
"Serv1","Product Name","-"
"Serv1","Type of Asset","Hardware"
"Serv1","Organization","-"
"Serv1","Is Virtual","Y"
"Serv1","เลขที่สัญญา","-"
"Serv1","Operating System","-"
"Serv1","Owner","พงษ์ศักดิ์ พลเทพ"
"Serv10","Product Name","-"
"Serv10","Unit","-"
"Serv10","Serial Number","VMWare"
"Serv10","Type of Asset","Hardware"
"Serv10","Model Version","-"
"Serv10","Is Virtual","Y"
"Serv10","System Doc","-"
"Serv10","Allow port firewall Server","-"
"Serv10","Service Pack","-"
"Serv10","Organization","Siriraj"
"Serv10","IP Address BAK","-"
"Serv10","เลขที่สัญญา","-"
"Serv10","Delivery Date","-"
"Serv10","รหัสครุภัณฑ์","-"
"Serv10","Vender","-"
"Serv10","VM Cluster Group","ESPR Cluster"
"Serv10","Deploy App",""
"Serv10","Operating System","Ubuntu 20.04"
"Serv10"," ISO Scope","No"
"Serv10","Group (ห้ามแก้)","ระบบสำนักงาน-คลังข้อมูล"
"Serv10","Service patch","-"
"Serv10","System (ห้ามแก้)","Production"
"Serv10","HealthCheck","-"
"Serv10","Rack Number","-"
"Serv10","MA Status","-"
"Serv10","SAP ID","-"
"Serv10","IP Address Primary","10.7.102.151"
"Serv10","Floor","7"
"Serv10","IP Address Management","-"
"Serv10","Owner","วศิน ศีติสาร"
"Serv10","CI Name","SIA09-MLPR01"
"Serv10","DC Room Building","ตึกศรีสวรินทิรา"
"Serv10","System Detail","Web Server ระบบงานหอสมุดคณะฯ"
"Serv10","MA Start Date","-"
"Serv10","No","10"
"Serv10","ประเภทการรับประกัน","-"
"Serv10","Primary Capability","VM"
"Serv10",""Environment(Production, UAT, Testing/Development, Not Used,..)"","Production"
"Serv10",""Status
(Active / Inactive)"","Active"
"Serv10","MA Expired Date","-"
"Serv10","Server Type (ห้ามแก้)",""
"Serv10","Database Vsersion","-"
"Serv100","MA Expired Date","-"
"Serv100","IP Address Primary","172.29.51.102"
"Serv100","Database Vsersion","-"
"Serv100","CI Name","SIA09-AXIF12"
"Serv100","DC Room Building","ตึกศรีสวรินทิรา"
"Serv100","System Doc","Y"
"Serv100"," ISO Scope","Implement & Certified"
"Serv100","Allow port firewall Server","-"
"Serv100","Service Pack","-"
"Serv100","System (ห้ามแก้)","Interface Server"
"Serv100","IP Address Management","-"
"Serv100","Owner","กรรณิกา ละมั่งทอง"
"Serv100","System Detail",""Interface Data ทาการเงิน ,ยา ,LAB""
"Serv100","Rack Number","-"
"Serv100","Organization","Siriraj"
"Serv100","Operating System","Microsoft Windows Server 2022 (64-bit)"
"Serv100","Server Type (ห้ามแก้)",""
"Serv100","Model Version","-"
"Serv100","MA Start Date","-"
"Serv100","MA Status","-"
"Serv100",""Environment(Production, UAT, Testing/Development, Not Used,..)"","Production"
"Serv100","ประเภทการรับประกัน","-"
"Serv100","VM Cluster Group","ESXD Cluster"
"Serv100","HealthCheck","-"
"Serv100","IP Address BAK","-"
"Serv100","SAP ID","-"
"Serv100","Unit","-"
"Serv100","Deploy App",""
"Serv100","เลขที่สัญญา","-"
"Serv100","Service patch","-"
"Serv100","No","100"
"Serv100","รหัสครุภัณฑ์","-"
"Serv100","Vender","-"
"Serv100","Type of Asset","Hardware"
"Serv100","Primary Capability","VM"
"Serv100","Product Name","-"
"Serv100","Serial Number","-"
"Serv100","Is Virtual","Y"
"Serv100","Group (ห้ามแก้)","ระบบโรงพยาบาล - แลกเปลี่ยนข้อมูล"
"Serv100",""Status
(Active / Inactive)"","Active"
"Serv100","Floor","7"
"Serv100","Delivery Date","-"
"Serv101","HealthCheck","-"
"Serv101","Unit","-"
"Serv101","ประเภทการรับประกัน","-"
"Serv101","Owner","กรรณิกา ละมั่งทอง"
"Serv101","Type of Asset","Hardware"
"Serv101","MA Status","-"
"Serv101","Is Virtual","Y"
"Serv101","Service Pack","-"
"Serv101","IP Address Management","-"
"Serv101","Model Version","-"
"Serv101","Database Vsersion","-"
"Serv101","Server Type (ห้ามแก้)",""
"Serv101","MA Start Date","-"
"Serv101","Primary Capability","VM"
"Serv101","Serial Number","-"
"Serv101","Organization","Siriraj"
"Serv101",""Environment(Production, UAT, Testing/Development, Not Used,..)"","Production"
"Serv101","เลขที่สัญญา","-"
"Serv101","SAP ID","-"
"Serv101","IP Address BAK","-"
"Serv101","System Doc","Y"
"Serv101",""Status
(Active / Inactive)"","Active"
"Serv101","Product Name","-"
"Serv101","CI Name","SIA09-AXIF14"
"Serv101","DC Room Building","ตึกศรีสวรินทิรา"
"Serv101","Vender","-"
"Serv101","No","101"
"Serv101"," ISO Scope","Implement & Certified"
"Serv101","Allow port firewall Server","-"
"Serv101","Deploy App",""
"Serv101","Operating System","Microsoft Windows Server 2022 (64-bit)"
"Serv101","System (ห้ามแก้)","Interface Server"
"Serv101","Floor","7"
"Serv101","Service patch","-"
"Serv101","System Detail","Interface ห้องยาผู้ป่วยนอก(ใหม่)"
"Serv101","Group (ห้ามแก้)","ระบบโรงพยาบาล - แลกเปลี่ยนข้อมูล"
"Serv101","Delivery Date","-"
"Serv101","VM Cluster Group","ESXD Cluster"
"Serv101","MA Expired Date","-"
"Serv101","IP Address Primary","172.29.51.104"
"Serv101","Rack Number","-"
"Serv101","รหัสครุภัณฑ์","-"
"Serv102","Serial Number","-"
"Serv102","HealthCheck","Y"
"Serv102","MA Expired Date","-"
"Serv102","Database Vsersion","-"
"Serv102","Is Virtual","Y"
"Serv102",""Status
(Active / Inactive)"","Active"
"Serv102","IP Address Primary","172.29.10.121"
"Serv102","IP Address Management","-"
"Serv102",""Environment(Production, UAT, Testing/Development, Not Used,..)"","Production"
"Serv102","Primary Capability","VM"
"Serv102","SAP ID","-"
"Serv102","Product Name","-"
"Serv102"," ISO Scope","No"
"Serv102","Allow port firewall Server","-"
"Serv102","Service patch","-"
"Serv102","Delivery Date","-"
"Serv102","VM Cluster Group","SIA09-VCSB01"
"Serv102","Rack Number","-"
"Serv102","รหัสครุภัณฑ์","-"
"Serv102","เลขที่สัญญา","-"
"Serv102","Model Version","-"
"Serv102","Unit","-"
"Serv102","Type of Asset","-"
"Serv102","MA Status","-"
"Serv102","Service Pack","-"
"Serv102","Operating System","Microsoft Windows Server 2016 (64-bit)"
"Serv102","Server Type (ห้ามแก้)",""
"Serv102","Organization","Siriraj"
"Serv102","DC Room Building","ตึกศรีสวรินทิรา"
"Serv102","Owner","ภูมินทร์"
"Serv102","System Doc","-"
"Serv102","Vender","-"
"Serv102","No","102"
"Serv102","Deploy App",""
"Serv102","System Detail","ระบบสารสนเทศ ภาควิชาเวชศาสตร์การธนาคารเลือด"
"Serv102","Floor","7"
"Serv102","CI Name","SIA09-BBPR01"
"Serv102","MA Start Date","-"
"Serv102","Group (ห้ามแก้)","ระบบโรงพยาบาล - ข้อมูลของภาควิชา/หน่วยงาน จัดทำ"
"Serv102","ประเภทการรับประกัน","-"
"Serv102","IP Address BAK","-"
"Serv102","System (ห้ามแก้)","ระบบสารสนเทศ ภาควิชาเวชศาสตร์การธนาคารเลือด"
"Serv103",""Status
(Active / Inactive)"","Active"
"Serv103","Floor","7"
"Serv103","Product Name","-"
"Serv103","Database Vsersion","MS SQL 2016"
"Serv103","Group (ห้ามแก้)","ระบบโรงพยาบาล - ข้อมูลของภาควิชา/หน่วยงาน จัดทำ"
"Serv103","Service Pack","-"
"Serv103","DC Room Building","ตึกศรีสวรินทิรา"
"Serv103","Serial Number","-"
"Serv103","SAP ID","-"
"Serv103","No","103"
"Serv103","IP Address Management","-"
"Serv103","System Detail","ระบบสารสนเทศ ภาควิชาเวชศาสตร์การธนาคารเลือด"
